participant_id,trial_index,song_file,song_title,true_origin,shown_origin,mislabeled,duration_seconds
25DLWY,2,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,214.272
25DLWY,3,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,193.992
25DLWY,4,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,206.112
25DLWY,5,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,217.032
25DLWY,6,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
57B9UE,1,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,162.024
57B9UE,2,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,206.112
57B9UE,3,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,214.272
57B9UE,4,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,193.992
57B9UE,5,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,217.032
57B9UE,6,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
3U84EL,1,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,217.032
3U84EL,2,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
3U84EL,3,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,206.112
3U84EL,4,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,193.992
3U84EL,5,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,162.024
3U84EL,6,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,214.272
WQXDGF,1,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,206.112
WQXDGF,2,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,217.032
WQXDGF,3,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,193.992
WQXDGF,4,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,278.4
WQXDGF,5,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,162.024
WQXDGF,6,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,214.272
U6J9VR,1,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,162.024
U6J9VR,2,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
U6J9VR,3,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,214.272
U6J9VR,4,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,193.992
U6J9VR,5,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,206.112
U6J9VR,6,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,217.032
MBCFCZ,1,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
MBCFCZ,2,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,214.272
MBCFCZ,3,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,193.992
MBCFCZ,4,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,217.032
MBCFCZ,5,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,162.024
MBCFCZ,6,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,206.112
9WBNKV,1,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,217.032
9WBNKV,2,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,162.024
9WBNKV,3,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,278.4
9WBNKV,4,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,206.112
9WBNKV,5,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,214.272
9WBNKV,6,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,Human composed,True,193.992
ZSREG4,1,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,214.272
ZSREG4,2,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,193.992
ZSREG4,3,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,278.4
ZSREG4,4,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,162.024
ZSREG4,5,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,206.112
ZSREG4,6,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,217.032
