participant_id,trial_index,song_file,song_title,true_origin,shown_origin,mislabeled,enjoy_before_origin,enjoy_after_origin,musical_quality,surprised_by_origin,origin_changed_experience
RQLMGW,5,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Extremely,Very much,Extremely,Extremely,Moderately
RQLMGW,6,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,AI-generated,False,Extremely,Moderately,Extremely,Extremely,Quite a lot
VNTXA6,1,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,AI-generated,False,Extremely,Extremely,Quite a lot,Not at all,Not at all
VNTXA6,2,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,Human composed,True,Extremely,Extremely,Not at all,Not at all,Not at all
VNTXA6,3,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Extremely,Extremely,Slightly,Not at all,Not at all
VNTXA6,4,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,Human composed,True,Extremely,Extremely,Extremely,Not at all,Not at all
VNTXA6,5,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,Extremely,Extremely,Moderately,Quite a lot,Moderately
VNTXA6,6,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,AI-generated,False,Moderately,Moderately,Quite a lot,Not at all,Not at all
SWEPBP,1,stimuli/experiment/guitar-vinaigrette.mp3,guitar-vinaigrette,AI-generated,Human composed,True,Quite a lot,Quite a lot,Very much,Not at all,Not at all
SWEPBP,2,stimuli/experiment/sun-through-blinds.mp3,sun-through-blinds,AI-generated,Human composed,True,Extremely,Quite a lot,Very much,Very little,Not at all
SWEPBP,3,stimuli/experiment/old-blue-sheet.mp3,old-blue-sheet,AI-generated,AI-generated,False,Very much,Very much,Very much,Extremely,Moderately
SWEPBP,4,stimuli/experiment/warm-light-patio.mp3,warm-light-patio,AI-generated,AI-generated,False,Quite a lot,Quite a lot,Quite a lot,Very much,Quite a lot
SWEPBP,5,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Quite a lot,Very much,Quite a lot,Moderately,Not at all
SWEPBP,6,stimuli/experiment/violins-&-sand.mp3,violins-&-sand,AI-generated,AI-generated,False,Moderately,Moderately,Slightly,Not at all,Not at all
JGNUMT,1,stimuli/experiment/red-motel-key.mp3,red-motel-key,AI-generated,Human composed,True,Very much,Very much,Extremely,Not at all,Not at all
